文字描述
許威廷（編號：B001），年齡 21 歲，工作年資 4.2 年，擅長：飲料調製、甜心卡操作、POS 結帳流程熟悉。每週可排班 16 至 30 小時，排班偏好為：早班、大夜班、晚班，不可上班日為：無。可接受的班表時段為：早班（14-23）、晚班（18-01）、晚班（19-02）、大夜班（23-07）、早班（7-16）。
陳俊傑（編號：B002），年齡 22 歲，工作年資 1.1 年，擅長：炸物熟練控制、出餐動線掌握、廚房團隊合作良好。每週可排班 20 至 40 小時，排班偏好為：大夜班、晚班、早班，不可上班日為：週二。可接受的班表時段為：早班（11-20）、晚班（18-01）、大夜班（23-07）、早班（7-16）、早班（8-17）。
張昱廷（編號：B003），年齡 19 歲，工作年資 1.2 年，擅長：多語言顧客服務、快速包裝漢堡、處理線上訂單熟練。每週可排班 20 至 24 小時，排班偏好為：大夜班、早班、晚班，不可上班日為：週五。可接受的班表時段為：早班（11-20）、早班（14-23）、晚班（18-01）、大夜班（23-07）、早班（8-17）。
黃威廷（編號：B004），年齡 29 歲，工作年資 1.0 年，擅長：外送迅速準確、導航熟悉、客訴處理能力佳。每週可排班 16 至 40 小時，排班偏好為：早班、晚班、大夜班，不可上班日為：無。可接受的班表時段為：早班（11-20）、早班（14-23）、晚班（18-01）、早班（7-16）、早班（8-17）。
許宜庭（編號：B005），年齡 19 歲，工作年資 4.4 年，擅長：點餐機教學、處理顧客障礙操作、維護設備整潔。每週可排班 20 至 30 小時，排班偏好為：早班、晚班，不可上班日為：無。可接受的班表時段為：早班（11-20）、晚班（18-01）、晚班（19-02）、早班（7-16）、早班（8-17）。
林宛蓉（編號：B006），年齡 25 歲，工作年資 0.6 年，擅長：飲料製作迅速、甜品補貨能力強、服務態度佳。每週可排班 16 至 30 小時，排班偏好為：早班、大夜班，不可上班日為：週一、週日。可接受的班表時段為：早班（11-20）、早班（14-23）、大夜班（23-07）、早班（7-16）、早班（8-17）。
吳柏翰（編號：B007），年齡 28 歲，工作年資 2.6 年，擅長：清潔巡查勤快、廚房區域油污處理熟練、安全意識強。每週可排班 12 至 40 小時，排班偏好為：大夜班、晚班、早班，不可上班日為：週日、週六。可接受的班表時段為：早班（11-20）、晚班（18-01）、晚班（19-02）、早班（7-16）、早班（8-17）。
陳彥廷（編號：B008），年齡 28 歲，工作年資 2.2 年，擅長：POS熟練操作、餐點備註處理、現金與電子支付切換流暢。每週可排班 16 至 40 小時，排班偏好為：早班、大夜班，不可上班日為：無。可接受的班表時段為：早班（11-20）、早班（14-23）、大夜班（23-07）、早班（7-16）、早班（8-17）。
洪冠宇（編號：B009），年齡 18 歲，工作年資 0.8 年，擅長：廚房備料控管、冷凍庫進出紀錄清晰、食品安全意識佳。每週可排班 12 至 20 小時，排班偏好為：早班、晚班，不可上班日為：無。可接受的班表時段為：早班（11-20）、早班（14-23）、晚班（18-01）、晚班（19-02）、早班（8-17）。
蔡思妤（編號：B010），年齡 21 歲，工作年資 2.9 年，擅長：飲品機操作快速、冰炫風比例調整準確、機器保養熟悉。每週可排班 20 至 40 小時，排班偏好為：早班、晚班、大夜班，不可上班日為：無。可接受的班表時段為：早班（11-20）、早班（14-23）、大夜班（23-07）、早班（7-16）、早班（8-17）。
陳宜庭（編號：B011），年齡 24 歲，工作年資 2.6 年，擅長：熟悉高峰期流程調配、餐包快速裝填、補貨應變能力佳。每週可排班 20 至 20 小時，排班偏好為：早班、晚班，不可上班日為：週三、週一。可接受的班表時段為：早班（11-20）、早班（14-23）、晚班（18-01）、晚班（19-02）、早班（8-17）。
張宜庭（編號：B012），年齡 20 歲，工作年資 2.4 年，擅長：外送安全駕駛、顧客應對態度佳、餐點核對快速準確。每週可排班 16 至 30 小時，排班偏好為：早班、晚班，不可上班日為：週一、週日。可接受的班表時段為：早班（11-20）、早班（14-23）、晚班（18-01）、晚班（19-02）、早班（7-16）。
吳昱廷（編號：B013），年齡 20 歲，工作年資 2.3 年，擅長：POS點餐推薦力強、促銷活動推廣、顧客滿意度回饋高。每週可排班 12 至 35 小時，排班偏好為：早班、大夜班、晚班，不可上班日為：無。可接受的班表時段為：早班（11-20）、早班（14-23）、晚班（18-01）、晚班（19-02）、早班（8-17）。
劉宛蓉（編號：B014），年齡 29 歲，工作年資 4.8 年，擅長：廚房熱區漢堡製作熟練、出餐動線配合良好、食材標示精準。每週可排班 20 至 40 小時，排班偏好為：早班、大夜班、晚班，不可上班日為：無。可接受的班表時段為：早班（11-20）、晚班（18-01）、晚班（19-02）、大夜班（23-07）、早班（7-16）。
李冠宇（編號：B015），年齡 23 歲，工作年資 0.8 年，擅長：甜品製作標準一致、庫存查核準確、協助新人訓練有耐心。每週可排班 16 至 40 小時，排班偏好為：早班、大夜班，不可上班日為：無。可接受的班表時段為：早班（11-20）、早班（14-23）、大夜班（23-07）、早班（7-16）、早班（8-17）。
謝宥廷（編號：B016），年齡 19 歲，工作年資 4.7 年，擅長：點餐機引導親切清楚、解決異常交易流程熟悉、語言能力佳。每週可排班 12 至 40 小時，排班偏好為：大夜班、早班，不可上班日為：週六。可接受的班表時段為：早班（11-20）、早班（14-23）、大夜班（23-07）、早班（7-16）、早班（8-17）。
鄭怡廷（編號：B017），年齡 21 歲，工作年資 1.7 年，擅長：熟記常客偏好、快速反應顧客需求、處理點餐錯誤冷靜穩健。每週可排班 20 至 24 小時，排班偏好為：晚班、大夜班、早班，不可上班日為：無。可接受的班表時段為：早班（11-20）、早班（14-23）、晚班（18-01）、早班（7-16）、早班（8-17）。
王俊傑（編號：B018），年齡 26 歲，工作年資 1.5 年，擅長：餐廳清潔規劃、班前巡檢落實、洗手間管理良好。每週可排班 12 至 30 小時，排班偏好為：早班、大夜班、晚班，不可上班日為：週二。可接受的班表時段為：早班（11-20）、早班（14-23）、晚班（18-01）、大夜班（23-07）、早班（7-16）。
黃志豪（編號：B019），年齡 26 歲，工作年資 1.8 年，擅長：飲品補貨迅速、甜品備料前置作業佳、設備溫度控制得當。每週可排班 12 至 20 小時，排班偏好為：早班、大夜班、晚班，不可上班日為：週三。可接受的班表時段為：早班（11-20）、晚班（18-01）、晚班（19-02）、大夜班（23-07）、早班（8-17）。
謝怡君（編號：B020），年齡 28 歲，工作年資 4.3 年，擅長：熟悉外送平台流程、交通安排靈活、客訴轉處流程流暢。每週可排班 16 至 40 小時，排班偏好為：早班、大夜班、晚班，不可上班日為：週一。可接受的班表時段為：早班（11-20）、晚班（18-01）、晚班（19-02）、早班（7-16）、早班（8-17）。
林彥廷（編號：B021），年齡 29 歲，工作年資 2.5 年，擅長：熟悉外送平台流程、交通安排靈活、客訴轉處流程流暢。每週可排班 20 至 35 小時，排班偏好為：早班、大夜班，不可上班日為：週二、週五。可接受的班表時段為：早班（11-20）、早班（14-23）、大夜班（23-07）、早班（7-16）、早班（8-17）。
吳威廷（編號：B022），年齡 20 歲，工作年資 0.7 年，擅長：廚房熱區漢堡製作熟練、出餐動線配合良好、食材標示精準。每週可排班 12 至 30 小時，排班偏好為：早班、大夜班、晚班，不可上班日為：週日。可接受的班表時段為：早班（14-23）、晚班（19-02）、大夜班（23-07）、早班（7-16）、早班（8-17）。
